# power surge and carbontracker time differences (minutes)
configuration   runNr   startDiff   endDiff duration
conf-1  1   138.9   118.9   205.1
conf-1  2   152.2   118.3   208.9
conf-1  3   123.0   118.6   204.4
conf-1  4   141.9   117.6   204.3
conf-2  1   135.4   115.3   200.1
conf-2  2   126.7   86.6    200.2
conf-2  3   150.1   109.9   200.2
conf-2  4   122.2   113.5   203.7   
conf-3  1   152.2   119.2   198.0
conf-3  2   150.7   88.0    197.7
conf-3  3   122.5   109.3   203.2
conf-3  4   138.6   114.6   198.9
conf-4  1   121.0   114.3   121.7
conf-4  2   142.9   117.8   120.1
conf-4  3   140.8   110.3   120.5
conf-4  4   121.9   116.3   120.6
conf-5  1   124.0   115.2   264.2
conf-5  2   122.8   117.9   264.9
conf-5  3   140.7   116.9   263.8
conf-5  4   129.2   119.3   269.9
conf-6  1   124.7   110.8   119.0
conf-6  2   120.6   113.5   117.1   
conf-6  3   122.3   119.1   118.3
conf-6  4   121.6   119.6   117.0

